year,rank,player,age,team,first,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg%,height,weight,defense_rank,wins,dws,dbpm,bpm,vorp
1983,1,Sidney Moncrief,25,MIL,14.0,14.0,75,0.187,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,190,82,6,51,3.5,0.4,5.4,5.1
1983,2,Tree Rollins,27,ATL,10.0,10.0,75,0.133,80,30.9,7.8,9.3,0.9,0.6,4.3,.510,216,107,9,43,5.0,3.7,2.7,3.0
1983,3,Larry Bird,26,BOS,6.0,6.0,75,0.080,79,37.7,23.6,11.0,5.8,1.9,0.9,.504,206,100,7,56,5.6,2.1,7.5,7.2
1983,4,Maurice Cheeks,26,PHI,6.0,6.0,75,0.080,79,31.2,12.5,2.6,6.9,2.3,0.4,.542,185,82,5,65,3.8,2.3,4.7,4.2
1983,5,Michael Cooper,26,LAL,6.0,6.0,75,0.080,82,26.2,7.8,3.3,3.8,1.4,0.6,.535,196,77,13,58,2.1,1.5,1.9,2.1
1983,6,Bobby Jones,31,PHI,6.0,6.0,75,0.080,74,23.6,9.0,4.6,1.9,1.1,1.2,.543,206,95,5,65,3.1,2.8,4.0,2.7
1984,1,Sidney Moncrief,26,MIL,19.0,19.0,76,0.250,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,190,82,2,50,4.2,0.4,4.1,4.7
1984,2,Mark Eaton,27,UTA,14.0,14.0,76,0.184,82,26.1,5.6,7.3,1.4,0.3,4.3,.466,224,125,12,45,3.5,3.7,1.0,1.6
1984,3,Dennis Johnson,29,BOS,7.0,7.0,76,0.092,80,33.3,13.2,3.5,4.2,1.2,0.7,.437,193,84,3,62,3.2,0.6,0.1,1.4
1984,4,Maurice Cheeks,27,PHI,5.0,5.0,76,0.066,75,33.3,12.7,2.7,6.4,2.3,0.3,.550,185,82,4,52,3.4,1.6,2.3,2.7
1984,5,Michael Cooper,27,LAL,5.0,5.0,76,0.066,82,29.1,9.0,3.2,5.9,1.4,0.8,.497,196,77,9,54,2.6,1.7,2.5,2.7
1984,6,Bobby Jones,32,PHI,5.0,5.0,76,0.066,75,23.5,8.3,4.3,2.5,1.4,1.4,.523,206,95,4,52,3.2,3.4,4.6,2.9
1984,7,T.R. Dunn,28,DEN,4.0,4.0,76,0.053,80,33.8,5.7,7.2,2.9,2.2,0.4,.470,193,87,22,38,2.1,1.2,0.4,1.6
1984,8,Rickey Green,29,UTA,3.0,3.0,76,0.039,81,34.2,13.2,2.8,9.2,2.7,0.2,.486,183,77,12,45,3.0,1.2,3.0,3.5
1984,9,Larry Nance,24,PHO,2.0,2.0,76,0.026,82,35.4,17.7,8.3,2.6,1.0,2.1,.576,208,93,14,41,3.7,0.9,3.1,3.8
1984,10,Calvin Natt,27,POR,2.0,2.0,76,0.026,79,33.4,16.2,6.0,2.3,0.9,0.3,.583,198,100,11,48,2.1,-0.7,1.5,2.3
1984,11,Rory Sparrow,25,NYK,2.0,2.0,76,0.026,79,30.8,10.4,2.4,6.8,1.3,0.1,.474,188,79,1,47,3.1,0.0,-0.5,0.9
1984,12,Larry Bird,27,BOS,1.0,1.0,76,0.013,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,206,100,3,62,5.6,2.0,7.6,7.3
1984,13,Magic Johnson,24,LAL,1.0,1.0,76,0.013,67,38.3,17.6,7.3,13.1,2.2,0.7,.565,206,98,9,54,3.6,1.8,6.6,5.6
1984,14,Bill Laimbeer,26,DET,1.0,1.0,76,0.013,82,34.9,17.3,12.2,1.8,0.6,1.0,.530,211,111,16,49,3.5,-0.7,1.8,2.7
1984,15,Moses Malone,28,PHI,1.0,1.0,76,0.013,71,36.8,22.7,13.4,1.4,1.0,1.5,.483,208,98,4,52,4.6,-1.2,0.8,1.8
1984,16,Tree Rollins,28,ATL,1.0,1.0,76,0.013,77,30.5,8.6,7.7,0.8,0.5,3.6,.518,216,107,7,40,3.8,2.3,1.0,1.8
1984,17,Lonnie Shelton,28,CLE,1.0,1.0,76,0.013,79,26.6,10.8,4.8,2.3,1.0,0.7,.476,203,109,18,28,2.1,0.3,-1.3,0.4
1984,18,Mychal Thompson,29,POR,1.0,1.0,76,0.013,79,33.5,15.7,8.7,3.9,1.1,1.4,.524,208,103,11,48,3.3,0.8,2.7,3.1
1984,19,Jamaal Wilkes,30,LAL,1.0,1.0,76,0.013,75,33.4,17.3,4.5,2.9,1.0,0.5,.514,198,86,9,54,2.0,-0.9,-0.3,1.1
1985,1,Mark Eaton,28,UTA,32.0,32.0,78,0.410,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,224,125,1,41,6.7,4.2,1.2,2.3
1985,2,Sidney Moncrief,27,MIL,13.0,13.0,78,0.167,73,37.5,21.7,5.4,5.2,1.6,0.5,.483,190,82,2,59,3.9,1.0,4.8,4.7
1985,3,Paul Pressey,26,MIL,10.0,10.0,78,0.128,80,36.0,16.1,5.4,6.8,1.6,0.7,.517,196,84,2,59,4.4,1.6,4.2,4.5
1985,4,Michael Cooper,28,LAL,9.0,9.0,78,0.115,82,26.7,8.6,3.1,5.2,1.1,0.6,.465,196,77,7,62,2.3,1.1,1.5,1.9
1985,5,Maurice Cheeks,28,PHI,5.0,5.0,78,0.064,78,33.5,13.1,2.8,6.4,2.2,0.3,.570,185,82,10,58,2.8,1.5,3.7,3.8
1985,6,Dennis Johnson,30,BOS,3.0,3.0,78,0.038,80,37.2,15.7,4.0,6.8,1.2,0.5,.462,193,84,5,63,2.8,0.0,0.3,1.8
1985,7,T.R. Dunn,29,DEN,2.0,2.0,78,0.026,81,28.3,5.4,4.8,1.9,1.7,0.2,.489,193,87,15,52,2.3,1.1,-0.1,1.0
1985,8,Micheal Ray Richardson,29,NJN,2.0,2.0,78,0.026,82,38.1,20.1,5.6,8.2,3.0,0.3,.469,196,86,12,42,4.2,1.6,4.1,4.8
1985,9,Danny Vranes,26,SEA,2.0,2.0,78,0.026,76,28.5,5.8,5.7,2.0,1.0,0.8,.463,201,95,13,31,2.4,1.2,-2.2,-0.1
1986,1,Alvin Robertson,23,SAS,27.0,27.0,78,0.346,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,190,84,17,35,4.6,3.3,4.7,4.9
1986,2,Manute Bol,23,WSB,22.0,22.0,78,0.282,80,26.1,3.7,6.0,0.3,0.4,5.0,.460,231,91,4,39,4.2,4.7,0.9,1.5
1986,3,Sidney Moncrief,28,MIL,8.0,8.0,78,0.103,73,35.2,20.2,4.6,4.9,1.4,0.2,.489,190,82,2,57,3.4,0.7,4.9,4.5
1987,1,Michael Cooper,30,LAL,25.0,25.0,78,0.321,82,27.5,10.5,3.1,4.5,1.0,0.5,.438,196,77,7,65,2.3,0.7,2.1,2.3
1987,2,Alvin Robertson,24,SAS,16.0,16.0,78,0.205,81,33.3,17.7,5.2,5.2,3.2,0.4,.466,190,84,19,28,3.4,2.1,3.0,3.4
1987,3,Mark Eaton,30,UTA,10.0,10.0,78,0.128,79,31.7,7.7,8.8,1.3,0.5,4.1,.400,224,125,1,44,5.0,3.1,-0.7,0.8
1987,4,Manute Bol,24,WSB,8.0,8.0,78,0.103,82,18.9,3.1,4.4,0.1,0.2,3.7,.446,231,91,10,42,2.9,4.6,0.3,0.9
1987,5,Kevin McHale,29,BOS,5.0,5.0,78,0.064,77,39.7,26.1,9.9,2.6,0.5,2.2,.604,208,95,9,59,4.0,0.4,5.1,5.5
1987,6,Maurice Cheeks,30,PHI,4.0,4.0,78,0.051,68,38.6,15.6,3.2,7.9,2.6,0.2,.527,185,82,12,45,2.7,1.0,3.2,3.4
1987,7,Dennis Johnson,32,BOS,3.0,3.0,78,0.038,79,37.1,13.4,3.3,7.5,1.1,0.5,.444,193,84,9,59,2.6,-0.1,-0.4,1.2
1987,8,T.R. Dunn,31,DEN,1.0,1.0,78,0.013,81,23.9,3.4,3.3,1.8,1.2,0.3,.428,193,87,15,37,1.5,1.2,-1.4,0.3
1987,9,Bill Hanzlik,29,DEN,1.0,1.0,78,0.013,73,27.3,13.0,3.5,3.8,1.2,0.4,.412,201,84,15,37,1.5,-0.2,-0.8,0.6
1987,10,Derek Harper,25,DAL,1.0,1.0,78,0.013,77,33.2,16.0,2.6,7.9,2.2,0.3,.501,193,84,14,55,2.6,1.2,5.2,4.6
1987,11,Michael Jordan,23,CHI,1.0,1.0,78,0.013,82,40.0,37.1,5.2,4.6,2.9,1.5,.482,198,90,11,40,5.0,2.4,10.8,10.6
1987,12,Fat Lever,26,DEN,1.0,1.0,78,0.013,82,37.2,18.9,8.9,8.0,2.5,0.4,.469,190,77,15,37,3.8,1.4,5.0,5.4
1987,13,Paul Pressey,28,MIL,1.0,1.0,78,0.013,61,33.7,13.9,4.9,7.2,1.8,0.8,.477,196,84,4,50,2.9,1.6,3.5,2.9
1987,14,Doc Rivers,25,ATL,1.0,1.0,78,0.013,82,31.6,12.8,3.6,10.0,2.1,0.4,.451,193,84,2,57,3.9,2.4,6.0,5.3
1988,1,Michael Jordan,24,CHI,37.0,37.0,80,0.463,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,198,90,3,50,6.1,4.2,13.0,12.5
1988,2,Mark Eaton,31,UTA,9.0,9.0,80,0.113,82,33.3,7.0,8.7,0.7,0.5,3.7,.418,224,125,1,47,5.2,2.0,-1.8,0.1
1988,3,Hakeem Olajuwon,25,HOU,7.0,7.0,80,0.088,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,213,116,4,46,6.3,2.2,4.4,4.6
1988,4,Alvin Robertson,25,SAS,6.0,6.0,80,0.075,82,36.3,19.6,6.1,6.8,3.0,0.8,.465,190,84,22,31,2.8,1.2,2.9,3.7
1988,5,Michael Cooper,31,LAL,4.0,4.0,80,0.050,61,29.4,8.7,3.7,4.7,1.1,0.4,.392,196,77,9,62,1.8,0.9,0.8,1.3
1988,6,Patrick Ewing,25,NYK,4.0,4.0,80,0.050,82,31.0,20.2,8.2,1.5,1.3,3.0,.555,213,109,7,38,4.7,2.4,4.2,4.0
1988,7,Fat Lever,27,DEN,4.0,4.0,80,0.050,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,190,77,6,54,4.9,2.2,5.1,5.5
1988,8,Manute Bol,25,WSB,1.0,1.0,80,0.013,77,14.8,2.3,3.6,0.2,0.1,2.7,.455,231,91,8,38,2.1,4.5,1.1,0.9
1988,9,Maurice Cheeks,31,PHI,1.0,1.0,80,0.013,79,36.3,13.7,3.2,8.0,2.1,0.3,.495,185,82,19,36,2.2,0.8,3.4,3.9
1988,10,Clyde Drexler,25,POR,1.0,1.0,80,0.013,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,201,95,10,53,3.9,1.4,7.0,7.0
1988,11,Bob Hansen,27,UTA,1.0,1.0,80,0.013,81,22.2,9.6,2.3,2.2,0.8,0.1,.517,198,86,1,47,2.1,0.3,-0.7,0.6
1988,12,Nate McMillan,23,SEA,1.0,1.0,80,0.013,82,29.9,7.6,4.1,8.6,2.1,0.6,.474,196,88,16,44,3.1,1.9,3.3,3.3
1988,13,Sam Perkins,26,DAL,1.0,1.0,80,0.013,75,33.3,14.2,8.0,1.6,1.0,0.7,.450,206,107,15,53,3.0,0.0,-0.3,1.1
1988,14,Paul Pressey,29,MIL,1.0,1.0,80,0.013,75,33.1,13.1,5.0,7.0,1.5,0.5,.491,196,84,13,42,2.7,1.3,3.0,3.2
1988,15,Dennis Rodman,26,DET,1.0,1.0,80,0.013,82,26.2,11.6,8.7,1.3,0.9,0.5,.561,201,95,2,54,3.6,0.4,1.6,2.0
1988,16,John Stockton,25,UTA,1.0,1.0,80,0.013,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,185,77,1,47,4.9,3.3,8.5,7.6
1989,1,Mark Eaton,32,UTA,26.0,26.0,85,0.306,82,35.5,6.2,10.3,1.0,0.5,3.8,.462,224,125,1,51,6.5,3.1,0.6,1.9
1989,2,Hakeem Olajuwon,26,HOU,25.0,25.0,85,0.294,82,36.9,24.8,13.5,1.8,2.6,3.4,.508,213,116,4,45,7.8,2.9,5.5,5.7
1989,3,Dennis Rodman,27,DET,23.0,23.0,85,0.271,82,26.9,9.0,9.4,1.2,0.7,0.9,.595,201,95,3,63,3.9,1.1,2.2,2.3
